chat_id,title,username,type,members_count,recent_messages_24h,unique_senders_24h,last_active_time,can_send_messages
-1002834445201,小奶龙业务群,ck041,SUPERGROUP,18817,20,20,2026-08-05 11:08:50,True
-1002621027996,Funpay Account information Chat,FunAccounts0,SUPERGROUP,1416,20,20,2026-08-05 11:08:49,True
-1001935147490,巴西❇️印度❇️尼日❇️哥伦海外支付通道,sunpayhrj90321,SUPERGROUP,3650,20,20,2026-08-05 11:08:40,True
-1001567990648,巴西❇️印度❇️印尼❇️越南❇️泰国海外资源,Sunpay_001,SUPERGROUP,4675,20,20,2026-08-05 11:08:40,True
-1001919574409,全球支付 交流2群,sunpay22222222,SUPERGROUP,3821,20,20,2026-08-05 11:08:32,True
-1002459869994,GDSPAY🇮🇳 India bank account,gdspay_group,SUPERGROUP,5999,20,20,2026-08-05 11:08:27,True
-1001966205131,尼日利亚支付 菲律宾支付 巴西支付 印度支付 印尼支付 马来西亚支付 越南支付 泰国支付 菲律宾支付 哥伦比亚支付 土耳其支付 墨西哥支付 南非支付 埃及支付 孟加拉支付...（线上api线下卡接）,pya028,SUPERGROUP,771,20,20,2026-08-05 11:08:27,True
-1003747497771,Rose Pay Account Group,RosePayChatGroup,SUPERGROUP,1459,20,19,2026-08-05 11:08:40,True
-1003099555550,MagicPay Indian Payment Expert Chat,GNSpay_8888,SUPERGROUP,4496,20,18,2026-08-05 11:08:38,True
-1002168577283,CXPAY-印度支付-资源交流群,Cxpay888888,SUPERGROUP,2438,20,17,2026-08-05 11:08:47,True
-1002526240133,SMS BULK SPAM💵,bulksmsbulksmsH,SUPERGROUP,2964,20,17,2026-08-05 11:08:42,True
-1001779305048,Huidu.io灰度出海遊戲項目交流社區【No.com冠名】,huidu_SQ,SUPERGROUP,100843,20,15,2026-08-05 11:08:42,True
-1001552075207,huidu.in|Crypto 🇮🇳【GGC2027】,huiduCryptoIN,SUPERGROUP,33488,20,15,2026-08-05 11:06:54,True
-1001317208021,huidu.in |Gaming 🇮🇳【GGC2027】,huidu_india,SUPERGROUP,54920,20,15,2026-08-05 11:06:38,True
-1003920574918,Saving Buyer 🧿,savingbuyer1,SUPERGROUP,183,20,14,2026-08-05 10:58:47,True
-1002718748864,Source code + api discussion 🔎,sourcecode_market,SUPERGROUP,340,20,13,2026-08-05 10:43:23,True
-1003757614320,LORD PAY OFFICIAL,OFFICIALLORDPAY,SUPERGROUP,157,20,13,2026-08-05 10:13:40,True
-1003901303079,DT PAY07,DTPAY07,SUPERGROUP,36,20,13,2026-08-05 09:34:35,True
-1002536329166,公群G小组6128-供押58888U强盛集团抖音代刷）,,SUPERGROUP,6237,20,12,2026-08-05 11:08:45,True
-1001753293546,公群K小组1688-供押168888U新葡京线下信息采集大群,,SUPERGROUP,3463,20,11,2026-08-05 11:08:28,True
-1003976457170,公群2195 供押15000U-奔驰集团小额洗资,bahf2,SUPERGROUP,11377,20,10,2026-08-05 11:08:08,True
-1001798403908,Huidu.io Global iGaming🎰【GGC2027】,huiduGlobal,SUPERGROUP,39971,20,10,2026-08-05 11:06:50,True
-1001551574989,Team Tech Man,teamtechman,SUPERGROUP,501,20,10,2026-08-05 11:00:20,True
-1003371199112,Blackhat Seo World,blackhatworldseo,SUPERGROUP,321,20,10,2026-08-05 10:50:16,True
-1002007855302,FREE AND COLLEGE OFFICIAL,freeandcollegeofficial,SUPERGROUP,1272,20,9,2026-08-05 10:12:01,True
