user_id,username,first_name,last_name,phone,is_bot,role_status
7745410745,anusoni1024,Anshu,Web,918303017391,False,ADMINISTRATOR
6172086623,Addy_Codex,HSS,CODERS,917417866566,False,MEMBER
8385964951,api_african6,Api,African,,False,MEMBER
6311466309,technocoders,​⏤͟ᴛᴇᴄʜɴᴏ ᴄᴏᴅᴇʀ </>,,,False,RESTRICTED
6787705492,Rahulcoders,RAHUL CODER,,,False,MEMBER
7898056115,tg_otp1,CHEAP OTP SELLER,,,False,ADMINISTRATOR
8492354878,Winc26,Demon,Slayer,,False,MEMBER
7133638875,rkgames55,RKGAMES,,,False,MEMBER
609517172,MissRose_bot,Rose,,,True,ADMINISTRATOR
6147098071,adwebdevloper,Ad,Web,,False,ADMINISTRATOR
2133876192,,『 𝐒𝐇𝐈𝐍𝐔 』🇮🇳,,,False,MEMBER
6358500162,,DEVLOPER,BOY,,False,MEMBER
8093837946,ox_devoloper,OX,DEVOLOPER,,False,ADMINISTRATOR
8229684176,Snxzrn,Deleted Account,,,False,MEMBER
6720016579,khpraj,Love Raj,,,False,MEMBER
1559485964,CrazyWebsiteDeveloper,Crazy website,Developer,,False,MEMBER
5308521067,Webrank1,It's,Me,,False,MEMBER
1007602135,Dsbhai2260,𝐃𝐒 𝐁𝐡𝐚𝐢,,,False,MEMBER
5589079210,Yashu64320,𝓨𝓪𝓼𝓱𝓾 𝓜𝓮𝓭𝓲𝓪,,,False,MEMBER
5446139663,Love2birds,সাধারণ ( Ordinary ),মানুষ ( People ),,False,ADMINISTRATOR
8267409391,Shhsgsvdt,BHAI,,,False,MEMBER
7839338261,Bigkingcustomersupport,Big,King,,False,MEMBER
8618724071,kishan_bhaiji,‼️ Kishan‼️,,,False,MEMBER
1638336676,clytrix,ClyTrix,,,False,MEMBER
7882443060,Hamza3895,Dr.,Dev,,False,MEMBER
5413853972,Codebuy_owner,Code,Buy,,False,MEMBER
8759493941,Bullclubx,Ox,Pay,,False,MEMBER
8200599520,pakclub_07,Pak,Club 07,,False,MEMBER
8472940148,Mota_bhai_007,Mota Bhai,007,,False,MEMBER
8588113789,Rynixsoft,Rynix,Soft,,False,MEMBER
783581374,Dear_Infotech,Dear infotech,( Ashish Bilona ),,False,MEMBER
5742629070,Dev_gro,Dev,,,False,MEMBER
1049854158,itsks2,Professor,,,False,MEMBER
300860929,SangMata_BOT,SangMata,,,True,ADMINISTRATOR
7191850008,,Neel Nafis,,,False,MEMBER
1064280731,VishalEarningZone,Vishal Digital,Earnings,,False,MEMBER
5463673494,WinWinWelcomebot,🎉 Trump🤝,,,True,MEMBER
8965990084,rightdeveloper03,Right,developer,,False,MEMBER
7286716293,RAJ_SMM,RAJ,SMM,,False,MEMBER
6662224781,Earnmoneyfgg,Good luck bro,,,False,MEMBER
7133823666,Khatab_owner,Rehan,,,False,MEMBER
